Filter,Seed,Shift Consistency (Binary Agreement),Shift Consistency (Chord Distance),Top-1 Accuracy (%),Top-5 Accuracy (%),mCE (%),Latency (ms)
None (Baseline),1,,,,,,
None (Baseline),2,,,,,,
None (Baseline),3,,,,,,
None (Baseline),4,,,,,,
None (Baseline),5,,,,,,
BlurPool,1,,,,,,
BlurPool,2,,,,,,
BlurPool,3,,,,,,
BlurPool,4,,,,,,
BlurPool,5,,,,,,
WaveCNet-Haar,1,,,,,,
WaveCNet-Haar,2,,,,,,
WaveCNet-Haar,3,,,,,,
WaveCNet-Haar,4,,,,,,
WaveCNet-Haar,5,,,,,,
WaveCNet-DB2,1,,,,,,
WaveCNet-DB2,2,,,,,,
WaveCNet-DB2,3,,,,,,
WaveCNet-DB2,4,,,,,,
WaveCNet-DB2,5,,,,,,
WaveCNet-BIOR3.3,1,,,,,,
WaveCNet-BIOR3.3,2,,,,,,
WaveCNet-BIOR3.3,3,,,,,,
WaveCNet-BIOR3.3,4,,,,,,
WaveCNet-BIOR3.3,5,,,,,,
PASA_Filter3_Group8,1,,,,,,
PASA_Filter3_Group8,2,,,,,,
PASA_Filter3_Group8,3,,,,,,
PASA_Filter3_Group8,4,,,,,,
PASA_Filter3_Group8,5,,,,,,
